municipio_id,ibi_urbana_rd_20_2011,year
8059,2012,0.65
8060,2012,0.693
8061,2012,0.5
8062,2012,0.64
8063,2012,0.88
8064,2012,1.134
8065,2012,1.144
8066,2012,1.083
8067,2012,0.902
8068,2012,1.21
8069,2012,0.775
8070,2012,1.1
8071,2012,1.1
8072,2012,1.21
8073,2012,0.466
8074,2012,1.199
8075,2012,0.88
8076,2012,0.858
8077,2012,0.942
8078,2012,0.55
8079,2012,0.925
8080,2012,0.605
8081,2012,0.704
8082,2012,0.88
8083,2012,0.477
8084,2012,0.56
8085,2012,0.43
8086,2012,0.867
8087,2012,1.092
8088,2012,0.6
8089,2012,0.773
8090,2012,0.77
8091,2012,0.806
8092,2012,1.16
8093,2012,0.616
8094,2012,0.902
8095,2012,0.792
8096,2012,1.069
8097,2012,0.78
8098,2012,0.68
8099,2012,0.9
8100,2012,0.814
8101,2012,0.9559
8102,2012,1.06
8103,2012,1.078
8104,2012,0.9
8105,2012,1.16
8106,2012,0.678
8107,2012,0.722
8108,2012,0.638
8109,2012,0.968
8110,2012,0.968
8111,2012,0.553
8112,2012,0.718
8113,2012,0.613
8114,2012,1.21
8115,2012,1.098
8116,2012,1.133
8117,2012,0.999
8118,2012,0.9196
8119,2012,0.781
8120,2012,0.583
8121,2012,0.4
8122,2012,0.99
8123,2012,0.466
8124,2012,0.91652
8125,2012,0.43
8126,2012,0.49
8127,2012,0.61
8128,2012,0.614
8129,2012,1.056
8130,2012,0.616
8131,2012,0.924
8132,2012,0.682
8133,2012,0.583
8134,2012,0.959
8135,2012,0.893
8136,2012,0.791
8137,2012,0.99
8138,2012,0.78
8139,2012,0.68
8140,2012,0.5
8141,2012,0.61
8142,2012,0.6
8143,2012,0.4
8144,2012,0.88
8145,2012,0.88
8146,2012,0.6
8147,2012,0.899
8148,2012,1.133
8149,2012,1.02
8150,2012,0.869
8151,2012,0.803
8152,2012,0.62
8153,2012,0.753
8154,2012,0.52
8155,2012,1.155
8156,2012,0.636
8157,2012,0.56
8158,2012,0.58
8159,2012,0.667
8160,2012,0.979
8161,2012,0.5
8162,2012,0.924
8163,2012,0.581
8164,2012,0.88
8165,2012,0.936
8166,2012,0.88
8167,2012,0.573
8168,2012,1.038
8169,2012,0.729
8170,2012,0.737
8171,2012,0.979
8172,2012,1.21
8174,2012,0.699
8175,2012,0.884
8176,2012,0.56
8177,2012,0.62
8178,2012,0.46
8179,2012,0.77
8180,2012,0.783
8181,2012,0.761
8182,2012,0.678
8183,2012,0.741
8184,2012,1.037
8185,2012,0.88
8187,2012,0.537
8188,2012,0.55
8189,2012,0.825
8190,2012,0.66
8191,2012,0.5
8192,2012,0.899
8193,2012,1.0918
8194,2012,0.87
8195,2012,1.078
8196,2012,0.784
8197,2012,1.078
8198,2012,1.21
8199,2012,1.062
8200,2012,0.525
8201,2012,0.96
8202,2012,0.897
8203,2012,0.901
8204,2012,0.694
8205,2012,0.505
8206,2012,0.44
8207,2012,1.16
8208,2012,0.79
8209,2012,0.598
8210,2012,0.26
8211,2012,0.522
8212,2012,0.88
8213,2012,0.5
8214,2012,0.9768
8215,2012,0.995
8216,2012,0.728
8217,2012,0.385
8218,2012,0.5
8219,2012,1.23
8220,2012,0.767
8221,2012,0.705
8222,2012,0.75
8223,2012,0.591
8224,2012,0.908
8225,2012,0.693
8226,2012,0.667
8227,2012,0.53
8228,2012,0.99
8229,2012,0.8214
8230,2012,0.826
8231,2012,1.01
8232,2012,0.957
8233,2012,0.53
8234,2012,1.21
8235,2012,0.935
8236,2012,1.1
8237,2012,1.089
8238,2012,0.5467
8239,2012,1.012
8240,2012,0.625
8241,2012,0.799
8242,2012,0.702
8243,2012,0.508
8244,2012,0.615
8245,2012,0.857
8246,2012,1.062
8247,2012,0.9568
8248,2012,0.859
8249,2012,0.88
8250,2012,0.605
8251,2012,0.601
8252,2012,0.532
8253,2012,1.031
8254,2012,1.067
8255,2012,0.5
8256,2012,0.781
8257,2012,0.561
8258,2012,0.58
8259,2012,0.689
8260,2012,0.38
8261,2012,1.092
8262,2012,0.8
8263,2012,0.52
8264,2012,0.724
8265,2012,1.1
8266,2012,0.536
8267,2012,0.967
8268,2012,0.863
8269,2012,0.825
8270,2012,1.155
8271,2012,0.937
8272,2012,0.858
8273,2012,0.913
8274,2012,0.814
8275,2012,1.034
8276,2012,0.693
8277,2012,0.583
8278,2012,0.93
8279,2012,0.7854
8280,2012,0.935
8281,2012,1.1
8282,2012,0.53
8283,2012,1.078
8284,2012,1.001
8285,2012,0.578
8286,2012,1.077
8287,2012,0.89
8288,2012,1.078
8289,2012,1.02
8290,2012,1.16
8291,2012,0.902
8292,2012,0.979
8293,2012,0.65
8294,2012,0.935
8295,2012,0.7208
8296,2012,0.99
8297,2012,0.88
8298,2012,0.614
8299,2012,0.75
8300,2012,0.689
8301,2012,0.551
8302,2012,0.495
8303,2012,0.946
8304,2012,0.792
8305,2012,0.847
8306,2012,1.012
8307,2012,0.85
8308,2012,0.528
8901,2012,1.02
8902,2012,0.60736
8903,2012,0.88
8904,2012,0.645
8905,2012,0.82
9001,2012,0.5
9003,2012,0.77
9006,2012,0.5
9007,2012,0.6
9009,2012,0.4
9010,2012,1.23
9011,2012,0.616
9012,2012,0.5
9013,2012,0.62
9014,2012,0.55
9016,2012,0.6
9017,2012,0.66
9018,2012,0.742
9019,2012,0.85
9020,2012,0.52
9021,2012,0
9022,2012,0
9023,2012,0.4
9024,2012,0.5
9025,2012,0.715
9026,2012,0.5
9027,2012,0.4
9029,2012,0.5
9030,2012,0.4
9032,2012,0.715
9033,2012,0.6
9034,2012,0.5
9035,2012,0.6
9036,2012,0.5
9037,2012,0
9038,2012,0.5
9039,2012,0.616
9041,2012,0.7
9043,2012,0.715
9044,2012,0.5
9045,2012,0
9046,2012,0.66
9047,2012,0.5
9048,2012,0.5
9050,2012,0.56
9051,2012,0.624
9054,2012,0.5
9055,2012,0.8
9056,2012,0.715
9057,2012,0.5
9058,2012,0.468
9059,2012,0
9060,2012,0.5
9061,2012,0.5
9062,2012,0.5
9063,2012,0.55
9065,2012,0.715
9066,2012,0.715
9067,2012,0.5
9068,2012,0.5
9070,2012,0.5
9071,2012,0.5
9072,2012,0.5
9073,2012,0.5
9074,2012,0.5
9075,2012,0.5
9076,2012,0.55
9077,2012,0.5
9078,2012,0.5
9079,2012,0.5
9082,2012,0.5
9083,2012,0.5
9084,2012,0.5
9085,2012,0.5
9086,2012,0.5
9088,2012,0.5
9090,2012,0.5
9091,2012,0.6
9093,2012,0.5
9094,2012,0.56
9095,2012,0.5
9098,2012,0.5
9100,2012,0.4
9102,2012,0.5
9103,2012,0.5
9104,2012,0.6
9105,2012,0.65
9108,2012,0.75
9109,2012,0.62
9110,2012,0.4
9112,2012,0.5
9113,2012,0.689
9114,2012,0.5
9115,2012,0.5
9117,2012,0.5
9119,2012,0.56
9120,2012,0.5
9122,2012,0.5
9123,2012,0.61
9124,2012,0.52
9125,2012,0.4
9127,2012,0.5
9128,2012,0.5
9129,2012,0.5
9130,2012,0.5
9131,2012,0.5
9132,2012,0.6
9133,2012,0.5
9134,2012,0.63
9135,2012,0.65
9136,2012,0
9137,2012,0.4
9138,2012,0.5
9139,2012,0.66
9140,2012,0
9141,2012,0.6
9143,2012,0.5
9144,2012,0.5
9148,2012,0.5
9149,2012,0.616
9151,2012,0.635
9152,2012,0.5
9154,2012,0.5
9155,2012,0.66
9159,2012,0.5
9160,2012,0.55
9162,2012,0.15
9163,2012,0.5
9164,2012,0.616
9166,2012,0.5
9167,2012,0.5
9168,2012,0.63
9169,2012,0.6
9170,2012,0.66
9172,2012,0.616
9173,2012,0.5
9174,2012,0.5
9175,2012,0
9176,2012,0.5
9177,2012,0
9178,2012,0.605
9179,2012,0.715
9180,2012,0.5
9181,2012,0.5
9182,2012,0.65
9183,2012,0.55
9184,2012,0.5
9189,2012,0.6
9190,2012,0.56
9192,2012,0.56
9194,2012,0.616
9195,2012,0.5
9196,2012,0.4
9197,2012,0.45
9199,2012,0.5
9200,2012,0.65
9201,2012,0.55
9202,2012,0.6
9206,2012,0.5
9208,2012,0.56
9209,2012,0.616
9211,2012,0.66
9213,2012,0.5
9214,2012,0.5
9215,2012,0.616
9216,2012,0.715
9217,2012,0.5
9218,2012,0
9219,2012,0.6448
9220,2012,0.5
9221,2012,0
9223,2012,0.715
9224,2012,0.4
9225,2012,0.5
9226,2012,0.4
9228,2012,0.55
9229,2012,0.5
9231,2012,0.56
9232,2012,0.5
9235,2012,0.65
9236,2012,0.55
9238,2012,0
9239,2012,0.77
9241,2012,0.416
9242,2012,0.54
9243,2012,0.5
9244,2012,0.5
9246,2012,0
9247,2012,0.5
9248,2012,0.5
9249,2012,0.5
9250,2012,0.5
9251,2012,0.56
9253,2012,0.6
9255,2012,0.715
9256,2012,0.5
9257,2012,0.5
9258,2012,0.6
9259,2012,0.6
9261,2012,0.5
9262,2012,0.5
9265,2012,0.65
9266,2012,0.4
9267,2012,0.6
9268,2012,0.5
9269,2012,0.5
9270,2012,0.5
9272,2012,0.715
9273,2012,0.75
9274,2012,0.66
9276,2012,0.5
9277,2012,0.56
9279,2012,0.5936
9280,2012,0.6
9281,2012,0.624
9283,2012,0.5
9287,2012,0.5
9288,2012,0.5
9289,2012,0.5
9292,2012,0.56
9294,2012,0.7
9295,2012,0.5
9297,2012,0.5
9298,2012,0.55
9301,2012,0.5
9302,2012,0.4
9303,2012,0.45
9304,2012,0
9306,2012,0
9307,2012,0.88
9308,2012,0.5
9309,2012,0.55
9310,2012,0.6
9311,2012,0.56
9312,2012,0.5
9314,2012,0.4
9315,2012,0.5
